id,school_id,department_type,group_id,group_name,remark,school_name
"267c3b9d-3aad-436e-b139-6e3c3efcdc29","a647d40f-6a27-4c96-8e04-ae5fb1f58485","chinese","","","","九龍三育中學"
"cc5c6aef-ddfa-4473-be5f-5baac424a930","e5d42a6d-791d-4e0a-92ed-680198627d8a","chinese","","","","九龍工業學校"
"4bf5aa46-49df-465b-95b3-050c60e5349d","14d44fae-8d47-49a3-b429-0b9146e036f3","chinese","","","","十八鄉鄉事委員會公益社中學"
"fb2ea119-e06b-4de2-a558-48ab4077fee8","f27f7f83-a41d-4acd-a9cf-cf1378989876","chinese","","","","三水同鄉會劉本章學校"
"bf65f967-ec8a-483d-85f1-dfdb2c095df2","76acc641-63d3-4181-adff-1cb36a98d40d","chinese","","","","上水官立中學"
"77c34a77-fb67-4786-bf7d-3c35b8d45511","87833830-b923-42ca-a59f-52ea1f8ae7f8","chinese","","","","才俊學校"
"86305d10-aa63-4e36-981c-44535f4ef86d","d4d37ae4-36a4-42f5-9a77-2b38acf7066a","chinese","","","","中文大學校友會聯會陳震夏中學"
"3fcb6bb4-1c92-4828-8c69-5824aacb529f","1a6d3f19-7fb8-48c0-8bc5-1afa1ba3a43c","chinese","","","","裘錦秋中學 (元朗)"
"15a23f06-7ad2-4581-bca0-835f49aeacfb","cff496fe-b4a0-497f-9392-b9d2bfb221bd","chinese","","","","中華基督教會公理書院"
"61cde3a8-3f58-492a-83e2-d31a28ed320d","3a84a75a-80db-4ec9-a45c-dcb3f6996ddf","chinese","","","","中華基督教會方潤華中學"
"295dddf2-d37d-4756-944e-d011b27b2231","0876f12a-ebfe-49e0-81d9-63c201bf301a","chinese","","","","中華基督教會扶輪中學"
"e8973b0c-5299-431e-8ba9-9313ebc76503","c0fe7f02-e67d-47d0-b523-c936e63f4698","chinese","","","","中華基督教會協和書院"
"9316eab7-420d-4b8c-8477-78df6f8d3347","c278a551-a8a7-48d6-8314-3a4079338fad","chinese","","","","中華基督教會基真小學"
"1013cc9b-f040-484f-bec3-19eb8e73080f","acd359f6-3c3c-4ab8-9c4c-859d390f99d8","chinese","","","","中華基督教會基順學校"
"c56085f5-0cc3-458d-ae30-78a9c53a25c1","e01a01d3-54a3-4e22-9507-4fa22d1254a7","chinese","","","","中華基督教會基道中學"
"7934af76-5773-4de8-8d1c-79025e1869af","14cbbfa8-ef72-4fe6-b311-281abbaeaa3e","chinese","","","","中華基督教會望覺堂啟愛學校"
"61f99c31-a7f6-41ee-8560-7f0b613e8c39","4ac672ff-3a64-4011-88af-2d8e955e073b","chinese","","","","中華基督教會馮梁結紀念中學"
"9cc6b120-e097-42a6-b891-b1536824f53d","72723a57-e4a0-46c9-aa9d-42c2fa85ccbf","chinese","","","","中華基督教會銘賢書院"
"cc5e8a76-d173-4b82-a817-9f426c968aee","d5ccbd11-cc79-47c7-8d6f-ac19f40de378","chinese","","","","中華基督教會燕京書院"
"f5572aa8-9d8a-4365-997b-335a93b5d050","11b310b7-ae68-46c8-a69f-2c43d33328e3","chinese","","","","五育中學"
"d8168860-a3d4-4ff0-ad4f-618370a3d6b5","ac5431cd-0aae-4278-8477-020156209385","chinese","","","","仁愛堂陳黃淑芳紀念中學"
"6d31d6c1-f93a-47ce-8295-3dae3d8591e4","f3d91a11-6bc4-41d4-a1fa-b3b7fb3e164d","chinese","","","","仁濟醫院董之英紀念中學"
"bc302b72-7454-4f87-a34f-f843b44f3a86","d472a724-8dd2-42f6-8ee2-651e5f053678","chinese","","","","仁濟醫院靚次伯紀念中學"
"ce044b0f-bed7-4419-87d3-c101b524841f","65586d0d-19f8-4843-b24b-efb6f834fd28","chinese","","","","元朗天主教中學"
"1a3e3977-255c-413e-9c98-af8d5c5ea4ad","49ce807d-a726-403d-8e26-4dcb591733ad","chinese","","","","分治教育"
"7150364f-4ec1-4f01-bfbf-96d7b21aa521","1d569b2b-cec9-4c1f-a31a-bf920864b956","chinese","","","","天主教母佑會蕭明中學"
"a5cb0cc6-9936-4695-a0f9-84296a41e9ee","938c3362-14be-42b7-b7f2-a63639dad16c","chinese","","","","天主教培聖中學"
"833a00fb-a3e3-442c-bf50-92047f220c91","608a1713-1e12-41c3-80ae-6590f7812b68","chinese","","","","天主教普照中學"
"88d38ccb-391a-43cc-a192-c15e010c4f44","0e8e6afd-e6b9-4b1e-811f-3f6764f346f1","chinese","","","","天主教新民書院"
"d8d491c9-ec52-4a79-ae28-c0d4860a1861","65b97d7c-4b4a-404c-85f9-1cc3c1aa73fd","chinese","","","","天主教鳴遠中學"
"1a368330-cda1-4ead-baeb-a66162661b85","e4b96203-6a30-440b-bbb7-54ff7c0be493","chinese","","","","天保民學校"
"e01ebded-5d02-42cc-a870-42da55d384bb","a2f48599-a58b-4282-b76d-3a28c20beaa6","chinese","","","","心光恩望學校"
"e1f767af-5c60-4c81-a54a-d5f69ffc48e1","d37affa8-0ed3-40ed-b56c-afa3f2a0095d","chinese","","","","心光學校"
"d1077afc-b8f2-4711-b6ac-73bd50608c29","37607f60-2c4c-4480-bfd2-4a73408d5d77","chinese","","","","文理書院（九龍）"
"3ff84d3f-6f95-4cb0-aea0-3527fe09c7dc","85dcddb2-8a44-4f79-a52a-03f4deb31b6b","chinese","","","","加拿大國際學校"
"f1f12dae-de51-40e3-bb30-2e5020aea263","c224f8f0-332b-4ccc-96f2-67046040dc88","chinese","","","","可立中學（嗇色園主辦）"
"d21e946f-9315-4eb9-86f7-31408ec4d7ac","3583f721-078a-4c83-8a14-daf2b280b560","chinese","","","","可觀自然教育中心暨天文館"
"a697ebc3-845a-45a0-90bf-c48ab8b7ebee","f2f9af47-8a78-46ed-aa16-085a87542595","chinese","","","","弘立書院"
